,hscode,hscode_4_so,mo_ta,top_5_retrieval,check
0,22071000,2207,".#&Hoá chất Ethanol C2H5OH 99,9%, dùng trong phòng thí nghiệm, thành phần: Ethanol 99,9%. NSX: OCI. Hàng mới 100% (1L/chai)","[7203, 98350000, 2821, 6909, 5206]",False
1,22071000,2207,.#&Cồn công nghiệp. Hàng mới 100%,"[3823, 2207, 9706, 2208, 3302]",True
2,22071000,2207,".#&Hóa chất Ethyl alcohol (C2H5OH)(500ml/ chai), hàng mới 100%","[2917, 2915, 2918, 2920, 3811]",False
3,25010093,2501,".#&Muối tinh khiết dạng viên, hàng mới 100%","[1103, 2501, 210, 7203, 29400000]",True
4,25222000,2522,".#&Vôi tôi Ca(OH)2 >=90%,dạng bột,để xử lý nước thải,Mỏ k.thác:Mỏ núi cuối Hồ Trứng,X.Thanh Sơn, H.Kim Bảng,T.Hà Nam,Cty k.thác:CTCP ĐTXD giao thông 577,Cty chế biến:CT TNHH Savina Hà Nam,mới 100%","[98160000, 98160000, 2522, 507, 5206]",True
5,27101944,2710,".#&Mỡ bôi trơn SKF LGHP có khả năng chịu nhiệt độ cao, với đặc tính chổng rỉ, khả năng chịu nước tốt, bảo vệ ổ bi không bị gỉ sét hàng mới 100%","[8402, 6902, 2707, 8468, 2508]",False
6,27101944,2710,.#&Mỡ: BIT EP NO 2. Hàng mới 100%,"[9706, 98260000, 1501, 1505, 1502]",False
7,27101944,2710,".#&Mỡ chịu nhiệt bôi trơn vòng bi HT-800,1 hộp=15 kg, GREASE / HT-800 1EA:15KG, 5040-362100","[1501, 1502, 4817, 1505, 8418]",False
8,27101944,2710,.#&Mỡ Urethyn E2 (1 kg/hộp) . Hàng mới 100%,"[9706, 1501, 1505, 1502, 4415]",False
9,27101944,2710,.#&Mỡ bôi trơn 400G: 59031350. Hàng mới 100%,"[9706, 1501, 1505, 1502, 209]",False
10,27101946,2710,".#&Dầu nhờn Daphne Super Srew 32, 20l/thùng, mới 100%","[9706, 3206, 26020000, 4416, 4415]",False
11,27101946,2710,".#&Dầu đường trượt :VBC SLIDE BSH-68V, hàng mới 100% ( dạng lỏng )","[8413, 20060000, 1701, 8416, 3212]",False
12,27101946,2710,.#&Dầu thủy lực : VBC HYDRO BHW-68. Hàng mới 100% ( dạng lỏng ),"[9706, 8413, 9832, 5810, 2523]",False
13,27101946,2710,.#&Dầu hút chân không US Lube 100 (20 lít/thùng). Hàng mới 100%,"[9706, 4415, 7612, 6115, 26020000]",False
14,27101946,2710,.#&Dầu máy Hiscrew Oil 20l/thùng: 55173321. Hàng mới 100%,"[4415, 9706, 26020000, 1514, 4416]",False
15,27101946,2710,.#&Dầu thủy lực : VBC HYDRO BHW-46. Hàng mới 100% ( dạng lỏng ),"[9706, 8413, 9832, 5810, 4602]",False
16,27101946,2710,.#&Dầu thủy lực: VBC HYDRO BHW-68. Hàng mới 100% (dạng lỏng),"[9706, 8413, 9832, 5810, 2523]",False
17,27111900,2711,.#&Khí dầu mỏ hóa lỏng LPG (hỗn hợp Propan và Butan). Hàng mới 100%,"[2711, 27050000, 3827, 9706, 8413]",True
18,27111900,2711,.#&Khí dầu mỏ hóa lỏng LPG (hỗn hợp Propan và Butan). Hàng mới 100%.,"[2711, 27050000, 3827, 9706, 8413]",True
19,27129090,2712,"Sáp Fischer Tropsch dạng hạt, dùng bôi trơn piston máy đúc,  thành phần: sáp Fischer Tropsch: 68%, Graphite: 32%, Isolat 80 G, 5043-004900","[1521, 3404, 2712, 2208, 2207]",True
20,27129090,2712,"Sáp Fischer Tropsch dạng hạt, dùng bôi trơn piston máy đúc,  thành phần: sáp Fischer Tropsch: 68%, Graphite: 32%, ISOLAT 80G , 5043-004900","[1521, 3404, 2712, 8454, 3407]",True
21,28042100,2804,.#&Khí argon 99.999% chứa trong bình 40 lít áp suất 150 bar,"[7203, 7309, 76110000, 1901, 7310]",False
22,28042100,2804,".#&Khí argon lỏng chứa trong bình 176 lít, trọng lượng 120 kg","[3105, 7309, 76110000, 7310, 7612]",False
23,28043000,2804,".#&Khí ni tơ lỏng chứa trong bình 176 lít, trọng lượng 127 kg","[2933, 3105, 7309, 76110000, 7310]",False
24,28043000,2804,".#&Khí Ni tơ lỏng (21kg) chứa trong bình 20L, N.W: 21kg.","[8522, 2933, 82100000, 3105, 76130000]",False
25,28044000,2804,".#&Khí Oxy chứa trong bình 40L, áp suất 130 bar","[27050000, 2711, 8402, 76130000, 7311]",False
26,28061000,2806,.#&Dung dịch Axit hydrochloric 35%( HCL 35% Việt Nam) CAS 7647-01-0. Hàng mới 100%,"[98350000, 5206, 6002, 6004, 5205]",False
