hscode,mo_ta,Ngay_xac_nhan
01012100,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01012900,- - Loại khác,26/09/2023 0:00:00
01013010,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01013090,- - Loại khác,26/09/2023 0:00:00
01019000,- Loại khác,26/09/2023 0:00:00
01022100,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01022911,- - - - Bò thiến (SEN),26/09/2023 0:00:00
01022919,- - - - Loại khác,26/09/2023 0:00:00
01022990,- - - Loại khác,26/09/2023 0:00:00
01023100,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01023900,- - Loại khác,26/09/2023 0:00:00
01029010,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01029090,- - Loại khác,26/09/2023 0:00:00
01031000,- Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01039100,- - Khối lượng dưới 50 kg,26/09/2023 0:00:00
01039200,- - Khối lượng từ 50 kg trở lên,26/09/2023 0:00:00
01041010,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01041090,- - Loại khác,26/09/2023 0:00:00
01042010,- - Loại thuần chủng để nhân giống,26/09/2023 0:00:00
01042090,- - Loại khác,26/09/2023 0:00:00
01051110,- - - Để nhân giống (SEN),26/09/2023 0:00:00
01051190,- - - Loại khác,26/09/2023 0:00:00
01051210,- - - Để nhân giống (SEN),26/09/2023 0:00:00
01051290,- - - Loại khác,26/09/2023 0:00:00
01051310,- - - Để nhân giống (SEN),26/09/2023 0:00:00
01051390,- - - Loại khác,26/09/2023 0:00:00
01051410,- - - Để nhân giống (SEN),26/09/2023 0:00:00
01051490,- - - Loại khác,26/09/2023 0:00:00
01051510,- - - Để nhân giống (SEN),26/09/2023 0:00:00
01051590,- - - Loại khác,26/09/2023 0:00:00
01059410,"- - - Để nhân giống (SEN), trừ gà chọi",26/09/2023 0:00:00
01059441,- - - - Khối lượng không quá 2 kg,26/09/2023 0:00:00
01059449,- - - - Loại khác,26/09/2023 0:00:00
01059491,- - - - Khối lượng không quá 2 kg,26/09/2023 0:00:00
01059499,- - - - Loại khác,26/09/2023 0:00:00
01059910,"- - - Vịt, ngan để nhân giống (SEN)",26/09/2023 0:00:00
01059920,"- - - Vịt, ngan loại khác",26/09/2023 0:00:00
01059930,"- - - Ngỗng, gà tây và gà lôi để nhân giống (SEN)",26/09/2023 0:00:00
01059940,"- - - Ngỗng, gà tây và gà lôi loại khác",26/09/2023 0:00:00
01061100,- - Bộ động vật linh trưởng,26/09/2023 0:00:00
01061210,"- - - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)",26/09/2023 0:00:00
01061220,"- - - Hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia)",26/09/2023 0:00:00
01061300,- - Lạc đà và họ lạc đà (Camelidae),26/09/2023 0:00:00
01061400,- - Thỏ (Rabbits và hares),26/09/2023 0:00:00
01061900,- - Loại khác,26/09/2023 0:00:00
01062000,- Loài bò sát (kể cả rắn và rùa),26/09/2023 0:00:00
01063100,- - Chim săn mồi ,26/09/2023 0:00:00
01063200,"- - Vẹt (kể cả vẹt lớn châu Mỹ (parrots), vẹt nhỏ đuôi dài (parakeets), vẹt đuôi dài và vẹt có mào)",26/09/2023 0:00:00
01063300,- - Đà điểu; đà điểu châu Úc (Dromaius novaehollandiae),26/09/2023 0:00:00
01063900,- - Loại khác,26/09/2023 0:00:00
01064100,- - Các loại ong,26/09/2023 0:00:00
01064900,- - Loại khác,26/09/2023 0:00:00
01069000,- Loại khác,26/09/2023 0:00:00
02011000,- Thịt cả con và nửa con,26/09/2023 0:00:00
02012000,- Thịt pha có xương khác,26/09/2023 0:00:00
02013000,- Thịt lọc không xương,26/09/2023 0:00:00
02021000,- Thịt cả con và nửa con,26/09/2023 0:00:00
02022000,- Thịt pha có xương khác,26/09/2023 0:00:00
02023000,- Thịt lọc không xương,26/09/2023 0:00:00
02031100,- - Thịt cả con và nửa con,26/09/2023 0:00:00
02031200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương",26/09/2023 0:00:00
02031900,- - Loại khác,26/09/2023 0:00:00
02032100,- - Thịt cả con và nửa con,26/09/2023 0:00:00
02032200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương",26/09/2023 0:00:00
02032900,- - Loại khác,26/09/2023 0:00:00
02041000,"- Thịt cừu non cả con và nửa con, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02042100,- - Thịt cả con và nửa con,26/09/2023 0:00:00
02042200,- - Thịt pha có xương khác,26/09/2023 0:00:00
02042300,- - Thịt lọc không xương,26/09/2023 0:00:00
02043000,"- Thịt cừu non, cả con và nửa con, đông lạnh",26/09/2023 0:00:00
02044100,- - Thịt cả con và nửa con,26/09/2023 0:00:00
02044200,- - Thịt pha có xương khác,26/09/2023 0:00:00
02044300,- - Thịt lọc không xương,26/09/2023 0:00:00
02045000,- Thịt dê,26/09/2023 0:00:00
02050000,"Thịt ngựa, lừa, la, tươi, ướp lạnh hoặc đông lạnh",26/09/2023 0:00:00
02061000,"- Của động vật họ trâu bò, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02062100,- - Lưỡi,26/09/2023 0:00:00
02062200,- - Gan,26/09/2023 0:00:00
02062900,- - Loại khác,26/09/2023 0:00:00
02063000,"- Của lợn, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02064100,- - Gan,26/09/2023 0:00:00
02064900,- - Loại khác,26/09/2023 0:00:00
02068000,"- Loại khác, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02069000,"- Loại khác, đông lạnh",26/09/2023 0:00:00
02071100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02071200,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02071300,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02071410,- - - Cánh,26/09/2023 0:00:00
02071420,- - - Đùi,26/09/2023 0:00:00
02071430,- - - Gan,26/09/2023 0:00:00
02071491,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN),26/09/2023 0:00:00
02071499,- - - - Loại khác,26/09/2023 0:00:00
02072400,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh",26/09/2023 0:00:00
02072500,"- - Chưa chặt mảnh, đông lạnh",26/09/2023 0:00:00
02072600,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh",26/09/2023 0:00:00
