hscode,mo_ta,chinhsach_mathang
0101,"Ngựa, lừa, la sống",
#1,- Ngựa:,
01012100,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
01012900,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010130,- Lừa:,
01013010,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01013090,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01019000,- Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0102,Động vật sống họ trâu bò,
#2,- Gia súc:,
01022100,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
010229,- - Loại khác:,
#3,- - - Gia súc đực:,
01022911,- - - - Bò thiến (SEN),"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01022919,- - - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01022990,- - - Loại khác,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
#4,- Trâu:,
01023100,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01023900,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
010290,- Loại khác:,
01029010,- - Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
01029090,- - Loại khác,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
0103,Lợn sống,
01031000,- Loại thuần chủng để nhân giống,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
#5,- Loại khác:,
01039100,- - Khối lượng dưới 50 kg,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
