HS code,Mô tả sản phẩm
0101,"Ngựa, lừa, la sống"
01012100,- - Loại thuần chủng để nhân giống
01012900,- - Loại khác
010130,- Lừa:
01019000,- Loại khác
0102,Động vật sống họ trâu bò
010229,- - Loại khác:
01022911,- - - - Bò thiến (SEN)
01022919,- - - - Loại khác
01022990,- - - Loại khác
010290,- Loại khác:
0103,Lợn sống
01031000,- Loại thuần chủng để nhân giống
01039100,- - Khối lượng dưới 50 kg
01039200,- - Khối lượng từ 50 kg trở lên
0104,"Cừu, dê sống"
010410,- Cừu:
010420,- Dê:
0105,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi"
010511,- - Gà thuộc loài Gallus domesticus:
01051110,- - - Để nhân giống (SEN)
010512,- - Gà tây:
010513,"- - Vịt, ngan:"
010514,- - Ngỗng:
010515,- - Gà lôi:
01059410,"- - - Để nhân giống (SEN), trừ gà chọi"
01059441,- - - - Khối lượng không quá 2 kg
01059910,"- - - Vịt, ngan để nhân giống (SEN)"
01059920,"- - - Vịt, ngan loại khác"
01059930,"- - - Ngỗng, gà tây và gà lôi để nhân giống (SEN)"
01059940,"- - - Ngỗng, gà tây và gà lôi loại khác"
0106,Động vật sống khác
01061100,- - Bộ động vật linh trưởng
010612,"- - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia):"
01061210,"- - - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
01061220,"- - - Hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia)"
01061300,- - Lạc đà và họ lạc đà (Camelidae)
01061400,- - Thỏ (Rabbits và hares)
01062000,- Loài bò sát (kể cả rắn và rùa)
01063100,- - Chim săn mồi 
01063200,"- - Vẹt (kể cả vẹt lớn châu Mỹ (parrots), vẹt nhỏ đuôi dài (parakeets), vẹt đuôi dài và vẹt có mào)"
01063300,- - Đà điểu; đà điểu châu Úc (Dromaius novaehollandiae)
01064100,- - Các loại ong
0201,"Thịt của động vật họ trâu bò, tươi hoặc ướp lạnh"
02011000,- Thịt cả con và nửa con
02012000,- Thịt pha có xương khác
02013000,- Thịt lọc không xương
0202,"Thịt của động vật họ trâu bò, đông lạnh"
0203,"Thịt lợn, tươi, ướp lạnh hoặc đông lạnh"
02031100,- - Thịt cả con và nửa con
02031200,"- - Thịt mông đùi (hams), thịt vai và các mảnh của chúng, có xương"
0204,"Thịt cừu hoặc dê, tươi, ướp lạnh hoặc đông lạnh"
02041000,"- Thịt cừu non cả con và nửa con, tươi hoặc ướp lạnh"
02042200,- - Thịt pha có xương khác
02042300,- - Thịt lọc không xương
02043000,"- Thịt cừu non, cả con và nửa con, đông lạnh"
02045000,- Thịt dê
02050000,"Thịt ngựa, lừa, la, tươi, ướp lạnh hoặc đông lạnh"
0206,"Phụ phẩm ăn được sau giết mổ của lợn, động vật họ trâu bò, cừu, dê, ngựa, la, lừa, tươi, ướp lạnh hoặc đông lạnh"
02061000,"- Của động vật họ trâu bò, tươi hoặc ướp lạnh"
02062100,- - Lưỡi
02062200,- - Gan
02063000,"- Của lợn, tươi hoặc ướp lạnh"
02068000,"- Loại khác, tươi hoặc ướp lạnh"
02069000,"- Loại khác, đông lạnh"
0207,"Thịt và phụ phẩm ăn được sau giết mổ, của gia cầm thuộc nhóm 01.05, tươi, ướp lạnh hoặc đông lạnh"
02071100,"- - Chưa chặt mảnh, tươi hoặc ướp lạnh"
02071200,"- - Chưa chặt mảnh, đông lạnh"
02071300,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, tươi hoặc ướp lạnh"
020714,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh:"
02071410,- - - Cánh
02071420,- - - Đùi
02071430,- - - Gan
02071491,- - - - Thịt đã được lọc hoặc tách khỏi xương bằng phương pháp cơ học (SEN)
02074300,"- - Gan béo, tươi hoặc ướp lạnh"
02074400,"- - Loại khác, tươi hoặc ướp lạnh"
020745,"- - Loại khác, đông lạnh:"
02074510,- - - Gan béo
020760,- Của gà lôi: 
02076040,"- - Đã chặt mảnh và phụ phẩm sau giết mổ, đông lạnh"
0208,"Thịt và phụ phẩm dạng thịt ăn được sau giết mổ của động vật khác, tươi, ướp lạnh hoặc đông lạnh"
02081000,- Của thỏ hoặc thỏ rừng
02083000,- Của bộ động vật linh trưởng
020840,"- Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); của hải cẩu, sư tử biển và con moóc (hải mã) (động vật có vú thuộc phân bộ Pinnipedia):"
02084010,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
02085000,- Của loài bò sát (kể cả rắn và rùa)
02086000,- Của lạc đà và họ lạc đà (Camelidae)
02089010,- - Đùi ếch
0209,"Mỡ lợn không dính nạc và mỡ gia cầm, chưa nấu chảy hoặc chiết xuất cách khác, tươi, ướp lạnh, đông lạnh, muối, ngâm nước muối, làm khô hoặc hun khói"
02091000,- Của lợn
0210,"Thịt và phụ phẩm dạng thịt ăn được sau giết mổ, muối, ngâm nước muối, làm khô hoặc hun khói; bột mịn và bột thô ăn được làm từ thịt hoặc phụ phẩm dạng thịt sau giết mổ"
02101200,- - Thịt dọi (ba chỉ) và các mảnh của chúng
02101930,- - - Thịt lợn muối xông khói (bacon); thịt mông đùi (hams) không xương
02102000,- Thịt động vật họ trâu bò
02109100,- - Của bộ động vật linh trưởng
021092,"- - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); của hải cẩu, sư tử biển và con moóc (hải mã) (động vật có vú thuộc phân bộ Pinnipedia):"
02109210,"- - - Của cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ Cetacea); của lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
02109300,- - Của loài bò sát (kể cả rắn và rùa)
02109910,- - - Thịt gà thái miếng đã được làm khô đông lạnh (SEN)
