Mã hàng,Mô tả hàng hoá - Tiếng Việt,"Chính sách mặt hàng
theo mã HS"
,PHẦN I,
,ĐỘNG VẬT SỐNG; CÁC SẢN PHẨM TỪ ĐỘNG VẬT,
,Chú giải,
,"1. Trong phần này, khi đề cập đến một giống hoặc một loài động vật, trừ khi có yêu cầu khác, cần phải kể đến cả giống hoặc loài động vật đó còn non.",
,"2. Trừ khi có yêu cầu khác, trong toàn bộ Danh mục này bất cứ đề cập nào liên quan đến các sản phẩm ""được làm khô"" cũng bao gồm các sản phẩm được khử nước, làm bay hơi hoặc làm khô bằng đông lạnh.",
,Chương 1,
,Động vật sống,
,Chú giải,
,1. Chương này bao gồm tất cả các loại động vật sống trừ:,
,"(a) Cá và động vật giáp xác, động vật thân mềm và động vật thủy sinh không xương sống khác, thuộc nhóm 03.01, 03.06, 03.07 hoặc 03.08;",
,(b) Vi sinh vật nuôi cấy và các sản phẩm khác thuộc nhóm 30.02; và,
,(c) Động vật thuộc nhóm 95.08.,
101,"Ngựa, lừa, la sống",
,- Ngựa:,
1012100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1012900,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10130,- Lừa:,
1013010,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1013090,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1019000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
102,Động vật sống họ trâu bò,
,- Gia súc:,
1022100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10229,- - Loại khác:,
,- - - Gia súc đực:,
1022911,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1022919,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1022990,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
,- Trâu:,
1023100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1023900,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
10290,- Loại khác:,
1029010,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1029090,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
103,Lợn sống,
1031000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
,- Loại khác:,
1039100,- - Khối lượng dưới 50 kg,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1039200,- - Khối lượng từ 50 kg trở lên,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
104,"Cừu, dê sống",
10410,- Cừu:,
1041010,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1041090,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
10420,- Dê:,
1042010,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1042090,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
105,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi",
,- Loại khối lượng không quá 185 g:,
10511,- - Gà thuộc loài Gallus domesticus:,
1051110,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1051190,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10512,- - Gà tây:,
1051210,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1051290,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
10513,"- - Vịt, ngan:",
1051310,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1051390,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10514,- - Ngỗng:,
1051410,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1051490,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10515,- - Gà lôi:,
1051510,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1051590,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
,- Loại khác:,
10594,- - Gà thuộc loài Gallus domesticus:,
1059410,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
,- - - Gà chọi:,
1059441,- - - - Khối lượng không quá 2 kg,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1059449,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
,- - - Loại khác:,
1059491,- - - - Khối lượng không quá 2 kg,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1059499,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cấm XK (11/2021 & 01/2022/TT-BNNPTNT M3); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
10599,- - Loại khác:,
1059910,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1059920,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1059930,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1059940,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
106,Động vật sống khác,
,- Động vật có vú:,
1061100,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
10612,"- - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia):",
1061210,"- - - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)","Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN)*; Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)*"
1061220,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN)*; Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)*"
1061300,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1061400,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4)"
1061900,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5)"
1062000,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8)"
,- Các loại chim:,
1063100,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1063200,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1063300,- - Đà điểu; đà điểu châu Úc (Dromaius novaehollandiae),"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
1063900,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
,- Côn trùng:,
1064100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Giống vật nuôi cần bảo tồn (11/2021 & 01/2022/TT-BNNPTNT M4); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
1064900,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
1069000,#NAME?,"Động vật, thực vật hoang dã quý hiếm (CITES - 924/QĐ-BNN-TCLN); Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1); Động vật, sản phẩm động vật thủy sản phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M5); Loài thủy sản cấm XK (11/2021 & 01/2022/TT-BNNPTNT M8); Kiểm dịch thực vật (11/2021 & 01/2022/TT-BNNPTNT M9)"
,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022,
,Chương 2,
,Thịt và phụ phẩm dạng thịt ăn được sau giết mổ,
,Chú giải,
,1. Chương này không bao gồm:,
,"(a) Những sản phẩm thuộc loại đã được mô tả trong các nhóm 02.01 đến 02.08 hoặc 02.10, nhưng không thích hợp làm thức ăn cho người;",
,"(b) Côn trùng không còn sống, ăn được (nhóm 04.10);",
,"(c) Ruột, bong bóng hoặc dạ dày của động vật (nhóm 05.04) hoặc tiết động vật (nhóm 05.11 hoặc 30.02); hoặc",
,"(d) Mỡ động vật, trừ các sản phẩm của nhóm 02.09 (Chương 15).",
201,"Thịt của động vật họ trâu bò, tươi hoặc ướp lạnh",
2011000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2012000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2013000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
202,"Thịt của động vật họ trâu bò, đông lạnh",
2021000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2022000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2023000,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
203,"Thịt lợn, tươi, ướp lạnh hoặc đông lạnh",
,- Tươi hoặc ướp lạnh:,
2031100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2031200,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2031900,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
,- Đông lạnh:,
2032100,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2032200,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
2032900,#NAME?,"Động vật, sản phẩm động vật trên cạn phải kiểm dịch (11/2021 & 01/2022/TT-BNNPTNT M1)"
