hscode,mo_ta
0101,"Ngựa, lừa, la sống"
,- Ngựa:
01012100,- - Loại thuần chủng để nhân giống
01012900,- - Loại khác
010130,- Lừa:
01013010,- - Loại thuần chủng để nhân giống
01013090,- - Loại khác
01019000,- Loại khác
0102,Động vật sống họ trâu bò
,- Gia súc:
01022100,- - Loại thuần chủng để nhân giống
010229,- - Loại khác:
,- - - Gia súc đực:
01022911,- - - - Bò thiến (SEN)
01022919,- - - - Loại khác
01022990,- - - Loại khác
,- Trâu:
01023100,- - Loại thuần chủng để nhân giống
01023900,- - Loại khác
010290,- Loại khác:
01029010,- - Loại thuần chủng để nhân giống
01029090,- - Loại khác
0103,Lợn sống
01031000,- Loại thuần chủng để nhân giống
,- Loại khác:
01039100,- - Khối lượng dưới 50 kg
01039200,- - Khối lượng từ 50 kg trở lên
0104,"Cừu, dê sống"
010410,- Cừu:
01041010,- - Loại thuần chủng để nhân giống
01041090,- - Loại khác
010420,- Dê:
01042010,- - Loại thuần chủng để nhân giống
01042090,- - Loại khác
0105,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi"
,- Loại khối lượng không quá 185 g:
010511,- - Gà thuộc loài Gallus domesticus:
01051110,- - - Để nhân giống (SEN)
01051190,- - - Loại khác
010512,- - Gà tây:
01051210,- - - Để nhân giống (SEN)
01051290,- - - Loại khác
010513,"- - Vịt, ngan:"
01051310,- - - Để nhân giống (SEN)
01051390,- - - Loại khác
010514,- - Ngỗng:
01051410,- - - Để nhân giống (SEN)
01051490,- - - Loại khác
010515,- - Gà lôi:
01051510,- - - Để nhân giống (SEN)
01051590,- - - Loại khác
,- Loại khác:
010594,- - Gà thuộc loài Gallus domesticus:
01059410,"- - - Để nhân giống (SEN), trừ gà chọi"
,- - - Gà chọi:
01059441,- - - - Khối lượng không quá 2 kg
01059449,- - - - Loại khác
,- - - Loại khác:
01059491,- - - - Khối lượng không quá 2 kg
01059499,- - - - Loại khác
010599,- - Loại khác:
01059910,"- - - Vịt, ngan để nhân giống (SEN)"
